                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2203,                 8.8588,                 1.9595,                0.50781,                0.77404,                0.60755,                0.44313,                 1.6777,                  3.793,                 1.5479,              0.0001483,              0.0001483,              0.0001483
                      2,                 1.2126,                 2.7168,                  1.235,                0.69296,                0.77404,                0.85669,                0.58326,                  1.873,                 3.4702,                 1.5248,             0.00029937,             0.00029937,             0.00029937
                      3,                 1.2055,                 2.0642,                 1.1989,                0.71991,                0.78045,                0.82409,                 0.5883,                0.99723,                 2.3989,                 1.0378,             0.00044984,             0.00044984,             0.00044984
                      4,                 1.1962,                  1.612,                 1.2019,                 0.9284,                0.71154,                0.82519,                0.60185,                 1.3255,                 1.9323,                 1.1514,              0.0004523,              0.0004523,              0.0004523
                      5,                 1.1342,                 1.3496,                 1.2003,                0.91562,                0.80338,                0.90184,                0.66287,                 1.3829,                 1.0476,                0.99991,              0.0004523,              0.0004523,              0.0004523
                      6,                  1.076,                 1.1437,                 1.1465,                0.91764,                0.91103,                0.92934,                 0.6956,                 1.1744,                0.94384,                0.98221,              0.0004514,              0.0004514,              0.0004514
                      7,                 1.0825,                 1.1255,                 1.1363,                0.87484,                0.85737,                0.90385,                0.69288,                 1.0966,                0.91455,                 1.0122,              0.0004505,              0.0004505,              0.0004505
                      8,                 1.0828,                 1.0574,                 1.1451,                0.91347,                0.82305,                0.90159,                0.66354,                 1.1602,                 1.7855,                0.97736,             0.00044959,             0.00044959,             0.00044959
                      9,                 1.0648,                 1.0391,                  1.136,                0.82542,                0.89904,                0.90831,                0.68495,                 1.0229,                  1.446,                 1.0327,             0.00044869,             0.00044869,             0.00044869
                     10,                 1.0131,                  0.949,                 1.1114,                0.95658,                0.94071,                0.94715,                0.72878,                0.93097,                0.72397,                0.97708,             0.00044779,             0.00044779,             0.00044779
